Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
394,34700,Specialty Chemicals,2678.249259,1133.991145,3803.208978,16287
395,64400,Auto Parts,NULL,NULL,7351.998691,24608
396,741300,Auto Parts,11032.43367,4140.432624,13532.83947,49693
397,44913,Industrial Conglomerates,1161.770564,463.8326668,1397.690978,4531
398,592000,Specialty Chemicals,931.4647609,1045.981459,1319.255493,4299
399,717030,Automobiles,24664.35188,8991.883142,31718.50928,49998
400,1466250,Specialty Chemicals,4599.940884,2033.111834,5774.649077,8276
401,540000,Automobiles,17910.74076,4026.476498,22374.74756,31314
402,960000,Paper & Related Products,1553.600968,900.3930974,1815.156394,3668
403,154233,Specialty Chemicals,977.7430317,776.3110966,1536.143178,5814
404,594414,Specialty Chemicals,2143.820207,910.465584,3003.051358,3405
405,506560,Industrial Conglomerates,3875.343161,1637.0135,4918.955235,22850
406,260030,Auto Parts,4983.255944,2335.677941,5957.021589,42251
407,129526.9922,Auto Parts,2040.070036,689.0221452,2437.452765,9628
408,313214,Specialty Chemicals,1126.365596,554.5562294,1437.900842,2078
409,17401,Oil & Gas Storage & Transportation,6056.63421,457.7909544,6468.084608,1999
410,18800,Specialty Chemicals,404.6256655,133.9943241,596.5456852,1425
411,59062,Auto Parts,2976.989244,1539.604483,3862.816387,17263
412,8335864,Cement Manufacturers,NULL,NULL,2233.92981,2974
413,3921000,Paper & Related Products,3715.012435,3004.893235,4750.529897,10551
414,72963,Specialty Chemicals,NULL,500.8036753,1339.284793,3470
415,367000,Specialty Chemicals,964.2468562,594.5983606,1330.128312,2429
416,211728,Auto Parts,3881.662259,880.4260835,4517.003033,19390
417,58000,Paper & Related Products,244.1866151,126.9916325,297.5387612,1270
418,89777,Specialty Chemicals,1993.650198,835.7509268,2572.294039,8274
419,937161,Auto Parts,15158.51389,8346.549962,19708.49275,64641
420,267000,Specialty Chemicals,NULL,NULL,1148.708364,3497
421,555904,Automobiles,NULL,NULL,14830.05407,53977
422,397000,Auto Parts,NULL,NULL,4179.414571,26156
423,1390,Computer Storage & Peripherals,NULL,NULL,482.8741068,506
424,253327,Industrial Conglomerates,NULL,NULL,2902.148534,6885
425,39273,Auto Parts,988.0279543,346.1067153,1246.225266,3870
426,31900,Auto Parts,1098.159074,820.1958172,1290.470604,4390
427,1787,Industrial Conglomerates,1918.292606,40.75263992,2138.285678,1251
428,3535,Specialty Chemicals,251.069736,96.07126102,425.3516217,948
429,70518,Specialty Chemicals,264.8031799,138.4610982,305.6803912,1206
430,299700,Auto Parts,11013.02722,2081.926023,-12611.74973,43103
431,556531,Auto Parts,6594.293221,2293.252485,7480.636445,39429
432,5517956,Cement Manufacturers,269.7026012,412.5991376,353.6422547,NULL
433,509920,Oil & Gas Equipment & Services,3502.531254,4615.725892,3987.873623,11000
434,597431,Waste & Disposal Services,512.5545796,395.8919245,646.4775774,2300
435,208559.51,Diversified Banks,NULL,1305.767947,9606.086912,46284
436,5604800,Coal,19552.07211,8498.957345,23779.09191,64473
437,2.36E+07,Industrial Conglomerates,7817.162182,8465.570327,8477.900236,7000
438,3260000,Aluminum,11712.06086,5581.551936,13720.989,43000
439,519291,Diversified Banks,NULL,NULL,95651.59567,204000
440,1.35E+07,Waste & Disposal Services,7073.227562,7847.932097,9824.275092,36000
441,11793.84,Capital Markets,1775.459002,409.7387261,3937.870519,NULL
442,85776,Specialty Chemicals,NULL,192.183871,1445.195311,2000
443,1.65E+07,Waste & Disposal Services,10495.7444,NULL,NULL,43700
444,107327,Software,2378.813597,NULL,NULL,14000
445,62526,Software,4413.854124,1376.205017,11484.05839,13277
446,107125.47,Oil & Gas Exploration & Production,104.0909879,519.9815734,171.4612605,26
447,61543,Diversified Banks,NULL,2647.867418,11117.12654,47397
448,2285370,Oil & Gas Storage & Transportation,4148.700618,11121.08464,5549.972383,2162
449,60584.11,Diversified Banks,NULL,3162.02298,15103.33694,42000
450,615126,Computer Storage & Peripherals,31999.86038,1604.299495,33361.3339,112421
451,32805.9,Capital Markets,1.00E-06,8600.418256,10854.01989,14469
452,214.03,Industrial Conglomerates,1550.926077,482.996123,1975.730814,NULL
453,2934000,Automobiles,155334.0902,92878.93941,193280.6756,298683
454,1.67E+07,Oil & Gas Refining & Marketing,67729.26185,21916.74413,74646.2719,93096
455,983190,Oil & Gas Exploration & Production,979.6044416,2761.577523,1717.035678,564
456,14382,Capital Markets,33.94044167,41.30559344,769.4685367,587
457,66545,Health Care  Services,2823.090768,877.3497871,4115.16314,35000
458,1801,Software,198.2355044,NULL,NULL,2664
459,1082996.9,Auto Parts,6094.498907,NULL,NULL,25000
460,193759,Diversified Banks,NULL,NULL,NULL,204000
461,25158,Capital Markets,NULL,NULL,NULL,36600
462,3382.280029,Capital Markets,46.38002049,173.3300919,253.8281621,NULL
463,18586,Diversified Banks,NULL,407.6676815,3170.684474,NULL
464,1796000,Industrial Conglomerates,6059.528833,5386.014133,7420.780204,32241
465,6786,Specialty Chemicals,702.9455421,170.9228469,912.2641009,6449
466,113558,Oil & Gas Equipment & Services,263.0505485,1615.269012,321.789041,417
467,13054.31,Diversified Banks,NULL,2947.603638,5319.791849,22215
468,4375338.2,Industrial Conglomerates,1426.635938,1318.609777,1762.919046,2109
469,89943,Diversified Banks,NULL,1262.515993,15081.48523,NULL
470,174733,Oil & Gas Storage & Transportation,104.6666376,775.6314935,206.7095052,236
471,9304.936,Diversified Banks,NULL,471.1853089,17586.29873,10017
472,20417,Diversified Banks,NULL,387.7424345,2154.366672,6285
473,1752,Diversified Banks,NULL,18.101,467.397,1013
474,3102,Diversified Banks,NULL,55.70842385,714.3203929,NULL
475,10409.58,Capital Markets,2815.239291,629.1966856,13894.18933,14900
476,1119790,Oil & Gas Storage & Transportation,1120.111417,7895.592598,1957.627995,1470
477,213700,Capital Markets,NULL,NULL,49114.52573,60348
478,581724.25,Oil & Gas Storage & Transportation,22780.46776,1959.497762,24416.23724,17034
479,5405641,Oil & Gas Exploration & Production,11187.15817,27472.82037,16895.81664,2800
480,20490,Specialty Chemicals,276.6662553,114.472914,455.1075733,750
481,1.50E+07,Oil & Gas Refining & Marketing,26371.88627,8368.020624,29745.06919,NULL
482,3253,Computer Storage & Peripherals,53.82597295,36.61691212,82.95602962,463
483,640.5,Regional Banks,NULL,104.5916709,507.3083416,1518
484,4047,Software,206.2998187,11.881825,422.1312113,4100
485,1419000,Oil & Gas Equipment & Services,2670.416415,19969.9004,2940.491509,6700
486,1003528,Oil & Gas Exploration & Production,568.7260776,986.8328054,976.009944,399
487,17823,Specialty Chemicals,272.410793,109.9471034,582.410837,1219
488,50778.82,Diversified Banks,NULL,1786.577629,14878.13807,49410
489,16060.36,Computer Storage & Peripherals,7048.047811,124.8385829,7862.397723,7338
490,58470.10156,Software,3090.536065,306.8727174,4021.493642,8359
491,32800,Oil & Gas Equipment & Services,343.2041163,23.77337705,601.3245474,547
492,272000,Auto Parts,1949.435453,912.09391,2277.289551,12990
493,100300,Specialty Chemicals,556.7451266,224.8335602,707.396425,1532
494,10796,Auto Parts,1383.74788,509.7550193,1612.879153,6472
495,42334,Auto Parts,2240.840451,388.4775804,2919.942317,10000
496,1.23E+07,Oil & Gas Exploration & Production,15204.85564,19478.88552,16686.91193,5157
497,787101,Oil & Gas Exploration & Production,292.1062733,2673.15843,359.0185101,53
498,9248,Software,364.4264986,NULL,NULL,4500
499,296204,Health Care  Services,8587.162855,NULL,NULL,77700
500,487,Regional Banks,NULL,NULL,NULL,1206
501,32957.06,Capital Markets,874.612749,647.1038385,5257.266117,7022
502,919000,Specialty Chemicals,7132.491594,3314.2596,13234.45168,28000
503,27663.93,Computer Storage & Peripherals,1648.623813,134.0784668,1977.15232,2585
504,162602,Specialty Chemicals,3310,1759,5527,13598
505,18327,Software,NULL,202.8849062,1994.264989,1990
506,77820.6,Diversified Banks,NULL,239.2331657,6475.032851,60000
507,437162,Specialty Chemicals,993.3884477,1502.711147,2229.739473,6427
508,10453,Software,5381.81406,324.6656135,6735.20938,8732
509,763118.85,Industrial Conglomerates,1822.00348,991.9934237,2265.219094,117867
510,178129,Hotels,1479.620788,323.9296278,1667.641244,NULL
511,922000,Specialty Chemicals,3524,3152,5542,15375
512,233262,Diversified Banks,NULL,11887.42049,54347.05325,119390
513,895594.53,Oil & Gas Exploration & Production,829.0606276,3661.275483,1049.066335,441
514,54051.60156,Software,429.7610574,649.4150407,1095.920874,7411
515,183919.68,Oil & Gas Exploration & Production,172.6116156,1154.059793,199.4411379,72
516,29357,Thrifts & Mortgage Finance,NULL,1144.93152,7343.174431,18167
517,4391.7,Capital Markets,7.452349996,27.19824806,30.30137288,227
518,382663,Industrial Conglomerates,24895.09889,3315.158205,26590.09565,81003
519,158,Diversified Banks,NULL,296.3016479,29920.96119,3899
520,1.43E+08,Cement Manufacturers,16166,27890,27466,77055
521,88778,Gambling,2878.538631,1555.647217,4728.06767,12100
522,1171,Diversified Banks,NULL,2074.92687,7736.922825,26181
523,19286,Gambling,863.1950008,170.2626352,2446.089116,7901
524,4725098,Industrial Conglomerates,8525.565123,1670.15862,9494.697542,132
525,62714,Computer Storage & Peripherals,3328.204691,153.7798948,3846.56375,2326
526,80.1,Software,236.1770166,3.367589119,267.5789767,1697
527,3511670,Oil & Gas Exploration & Production,3856.607567,9251.683616,5405.709261,2065
528,2580.810059,Capital Markets,26.64649649,79.64815902,176.0554936,1722
529,354.3999939,Diversified Banks,NULL,95.9817566,954.7658946,1251
530,153217,Paper & Related Products,2508.106992,-2412.849595,2715.398798,4580
531,2162000,Oil & Gas Refining & Marketing,10222.19551,1218.357019,10987.79542,2251
532,927,Diversified Banks,NULL,97.017,304.674,448
533,2215390,Cement Manufacturers,2233.230072,648.3784085,2745.682841,8116
534,61300.43,Diversified Banks,NULL,1675.105728,10702.19483,13150
535,30934.07,Computer Storage & Peripherals,953.6147221,96.32483905,1031.875613,7223
536,221900,Specialty Chemicals,1179.703793,NULL,NULL,4772
537,867468.7,Coal,925.3986764,NULL,NULL,6500
538,395633.96,Oil & Gas Exploration & Production,1184.826394,NULL,NULL,408
539,66398.98,Software,3044.462447,NULL,NULL,12578
540,5592,Software,228.9003281,17.7651018,822.9190469,5744
541,7.85E+07,Aluminum,24342.56333,15119.4035,26445.91184,65211
542,34161,Diversified Banks,NULL,4699.149563,51067.01758,75811
543,5360000,Oil & Gas Exploration & Production,4057.976135,16443.26766,5775.301459,2400
544,948.4,Regional Banks,NULL,61.544,401.531008,800
545,17332,Diversified Banks,NULL,515.224698,3374.238513,NULL
546,251,Diversified Banks,NULL,5.774329766,1809.674949,69
547,5798,Diversified Banks,0,30.06042097,4580.030532,3382
548,35.9,Diversified Banks,NULL,1.801558333,555.7807458,574
549,31580,Gambling,602.8394069,195.5931192,2116.923393,15929
550,33504.52,Diversified Banks,NULL,1880.244945,12590.5548,21498
551,457407,Oil & Gas Equipment & Services,8878.481453,203.5022522,9806.291529,60000
552,106,Regional Banks,NULL,NULL,NULL,NULL
553,25767.62,Capital Markets,NULL,709.8091449,3935.695352,14217
554,25030,Diversified Banks,NULL,613.2258503,1808.204225,8937
555,4244,Computer Storage & Peripherals,457.1234901,85.37390397,571.6906385,1405
556,93104.51,Computer Storage & Peripherals,4455.071131,681.9357958,5055.628504,17805
557,6270000,Industrial Conglomerates,16219.18361,8550.4209,32061.63204,93516
558,954944,Oil & Gas Exploration & Production,1128.787661,8298.661986,1059.580918,2000
559,2313463,Oil & Gas Exploration & Production,3479.663163,18023.59837,4365.235481,2330
560,30678,Diversified Banks,NULL,162.094973,1889.541505,13475
561,458878.19,Auto Parts,2934.193334,1422.418368,3498.660631,23273
562,233106,Gambling,278.9731592,664.6851377,843.6723416,25844
563,60955,Diversified Banks,NULL,625.4198293,3289.232641,NULL
564,323868,Oil & Gas Equipment & Services,4417.097727,2041.21973,5620.693254,26500
565,3691,Gambling,380.1287479,128.7294432,812.9505647,1493
566,2864900,Automobiles,12935.44059,6706.811167,15205.87101,221000
567,5654,Computer Storage & Peripherals,432.8855747,127.4276324,649.0525254,2053
568,31499,Capital Markets,NULL,340.4219684,5897.25993,10573
569,2.03E+07,Oil & Gas Exploration & Production,25237.34326,44716.99866,35591.20039,10800
570,62954,Diversified Banks,NULL,6171.446717,11757.08668,14046
571,1447530,Oil & Gas Exploration & Production,1109.259079,3887.727059,2288.805201,955
572,27324,Hotels,69.21239894,166.3802879,109.0876808,2003
573,3258781.35,Industrial Conglomerates,59701.95031,23603.15035,90616.55701,NULL
574,61.1,Diversified Banks,NULL,NULL,NULL,NULL
575,7031,Diversified Banks,NULL,207.1792083,6667.567391,15879
576,153079.22,Diversified Banks,NULL,13388.78156,50173.39566,86659
577,1161573,Computer Storage & Peripherals,7672.858456,1746.666966,10901.07329,43000
578,3056.4,Capital Markets,173.8835471,388.3005794,2383.06243,3633
579,147938,Diversified Banks,NULL,271.8618428,9971.615763,61940
580,8193165,Industrial Conglomerates,2169.652094,1701.167312,2895.307709,NULL
581,916022,Oil & Gas Exploration & Production,792.1232247,4014.215524,1152.085479,698
582,1611000,Oil & Gas Refining & Marketing,4742.779777,935.4421474,4819.489058,640
583,342.0920105,Regional Banks,NULL,93.71834515,198.1558786,1028
584,5400000,Cement Manufacturers,481.3776995,568.2430371,612.0026235,623
585,49412,Specialty Chemicals,522.3051784,193.4393362,678.5377652,253
586,87.7,Capital Markets,NULL,18.15826223,49.36318402,66
587,564543.3,Automobiles,12785.77064,3334.822135,15763.473,52400
588,148000,Auto Parts,5806.189378,1305.623624,7637.438322,28452
589,207574.91,Diversified Banks,NULL,9227.234086,33748.54242,59132
590,20443.09961,Gambling,70.23911494,383.7319469,389.1992405,880
591,57902.5,Paper & Related Products,181.1132844,NULL,NULL,2426
592,122255,Auto Parts,373.8728391,NULL,NULL,4044
593,110800,Auto Parts,1547.788306,NULL,NULL,10429
594,2446392,Hotels,3266.674842,NULL,NULL,12812
595,1191,Specialty Chemicals,36.22257439,NULL,NULL,378
596,3008,Auto Parts,49.45541067,37.45964866,70.00419971,613
597,10770,Specialty Chemicals,197.6677525,108.8591725,278.4699514,1046
598,4713,Thrifts & Mortgage Finance,NULL,300.2651478,1385.839144,2748
599,433467.74,Oil & Gas Exploration & Production,406.568265,-789.5644063,811.8638627,1073
600,23879,Auto Parts,604.5967942,71.028288,653.9897451,1693
601,505478.7,Oil & Gas Equipment & Services,693.1614828,2273.011574,727.8015153,3564
602,2758.840088,Capital Markets,NULL,165.483804,351.9569003,3317
603,1.39E+07,Oil & Gas Storage & Transportation,5608.862037,50209.46992,10038.421,7081
604,502084,Computer Storage & Peripherals,6024.485894,2864.750423,9695.889445,76647
605,6360.4,Diversified Banks,NULL,306.1364863,1193.199419,3261
606,88219.10156,Specialty Chemicals,236.6746576,177.1969481,603.1010148,3473
607,440651,Automobiles,9638.296194,2416.021228,12210.01486,34515
608,18955.2,Diversified Banks,NULL,2269.581837,5472.607177,20424
609,926603,Oil & Gas Exploration & Production,312.568918,1988.276285,362.8561525,NULL
610,296931,Oil & Gas Exploration & Production,263.6957903,1494.986344,393.5610671,68
611,1.42E+07,Cement Manufacturers,1194.257577,1082.295929,1745.322915,16053
612,966370,Specialty Chemicals,887.59638,549.9748317,1288.828851,7600
613,5263,Diversified Banks,NULL,435.9565178,584.6892271,NULL
614,33822.0415,Automobiles,853.5230975,353.2132852,1017.425013,NULL
615,596225,Cement Manufacturers,107.218884,60.91675072,108.0879425,486
616,35635,Auto Parts,39.18804969,15.52891533,43.41414223,316
617,94144.60156,Specialty Chemicals,208.5416774,NULL,NULL,293
618,68338.39844,Computer Storage & Peripherals,2434.640289,NULL,NULL,30817
619,5.97E+07,Cement Manufacturers,2927.037896,NULL,NULL,20301
620,49309.18,Computer Storage & Peripherals,838.3069965,225.7229689,943.2976262,10397
621,3593.820068,Diversified Banks,NULL,23.38750288,287.0408061,1509
622,451,Diversified Banks,NULL,60.88018418,596.545547,NULL
623,14575,Diversified Banks,NULL,147.4562326,1004.731797,3571
624,308338,Waste & Disposal Services,378.3164663,171.3911081,474.5885381,23
625,120046,Auto Parts,872.9970412,270.5571757,1050.336395,1067
626,1342631.14,Oil & Gas Exploration & Production,761.5036247,4399.44748,841.9076321,242
627,3635496.44,Oil & Gas Exploration & Production,1977.25788,7874.75472,2506.962767,1004
628,1603061,Oil & Gas Exploration & Production,678.8346305,3918.020029,949.1872167,269
629,552,Diversified Banks,NULL,65.31089453,585.0316593,1197
630,120.8,Capital Markets,NULL,1.958542582,15.53777115,166
631,12801,Oil & Gas Exploration & Production,35.47345625,301.8163267,51.21589869,97.30000305
632,1353800,Automobiles,12128.42684,4755.245562,14137.87918,63455
633,4768.95,Capital Markets,544.2600257,68.00803989,2216.866394,2301
634,6400,Capital Markets,NULL,NULL,2232.880128,NULL
635,2.82E+07,Oil & Gas Refining & Marketing,22418.61001,3610.54413,24909.2953,5285
636,5600,Oil & Gas Equipment & Services,375.0264625,99.22925965,416.6426126,1775
637,726,Capital Markets,871.7994165,104.6778698,2484.386889,NULL
638,61306,Software,2287.363308,324.1443111,3421.870129,NULL
639,2465.55,Gambling,519.0137843,48.83299505,1185.048832,1465
640,5.25E+07,Cement Manufacturers,3307.320251,5897.874481,5232.827828,57887
641,225,Oil & Gas Exploration & Production,0.554917869,0.609344063,0,NULL
642,286000,Software,4332.497275,2010.39636,13019.05629,35000
643,715352.89,Software,25562.54061,5690.774892,46241.73062,54309
644,26876,Capital Markets,367.9472219,9.781714623,1002.487165,946
645,66207.35,Diversified Banks,NULL,242.7023091,3961.136591,27739
646,1955,Capital Markets,4080.66799,2196.514836,4929.10823,19979
647,93852,Software,1669.870564,747.5795957,2950.989416,7993
648,952911,Gambling,7911.438885,14828.68829,13434.27884,51500
649,3490000,Oil & Gas Refining & Marketing,11298.67297,2419.905927,11787.64219,NULL
650,44.20000076,Capital Markets,4.278621674,1.377359311,27.32850954,NULL
651,1805399,Paper & Related Products,NULL,NULL,NULL,NULL
652,46572,Gambling,1790.369059,255.3939527,3832.476125,25565
653,2039487,Oil & Gas Exploration & Production,2797.172491,4340.73374,3309.660459,1040
654,50509.798,Paper & Related Products,518.7202452,755.2632503,898.0362389,NULL
655,7714,Regional Banks,NULL,NULL,NULL,NULL
656,3053,Computer Storage & Peripherals,93.265983,12.67792065,113.1363937,1731
657,1238.9,Auto Parts,842.7138197,59.68541959,1014.406626,426
658,3105000,Oil & Gas Refining & Marketing,15350.47825,4315.734067,17238.68408,5413
659,14538,Software,1412.258223,117.2379644,1746.72127,9052
660,93302,Oil & Gas Exploration & Production,89.93473038,199.7541515,149.4993448,NULL
661,740000,Waste & Disposal Services,1111.910129,911.3046553,1289.433066,NULL
662,36135,Diversified Banks,NULL,1282.18877,8735.451109,49745
663,6611,Capital Markets,NULL,208.3746772,2806.859135,2996
664,12756,Software,1197.282899,148.6855217,3110.020659,14800
665,873215.59,Oil & Gas Equipment & Services,1460.949691,6544.428356,1218.27352,4888
666,41120,Auto Parts,1145.590308,233.7139232,1297.119139,11401
667,156151,Automobiles,2020.597168,255.6721122,2465.078774,6200
668,33531.46,Diversified Banks,NULL,117.7860947,4868.048079,21136
669,3973,Diversified Banks,NULL,677,3189,NULL
670,251249,Oil & Gas Equipment & Services,5019.476991,702.2621802,5707.868002,11500
671,261547,Diversified Banks,NULL,24143.29401,147785.1662,345971
672,9521.31,Computer Storage & Peripherals,1039.644111,97.04192019,1323.695738,1712
673,15770.67,Diversified Banks,NULL,NULL,NULL,NULL
674,759000,Aluminum,5240.504759,3227.537898,5884.48545,10366
675,2222830,Automobiles,13476.16657,2254.526405,15460.00001,139602
676,89415.59,Computer Storage & Peripherals,517.7390122,170.2485188,652.746965,9093
677,18840,Capital Markets,280.001502,342.4870795,3758.007776,12179
678,6381.629883,Capital Markets,605.2750531,860.5817024,5952.06762,10391
679,1760133.21,Auto Parts,1749.213607,2436.788812,2990.90598,27067
680,1001.570007,Software,6.036936623,7.965422772,51.19821773,739
681,5091249,Oil & Gas Exploration & Production,3970.330393,20278.38905,8643.367989,3118
682,10552,Software,NULL,480.6057813,1433.001264,5800
683,2513000,Oil & Gas Storage & Transportation,673.3389181,2927.981025,852.09973,NULL
684,3208.120117,Capital Markets,338.6144769,25.87534674,1061.339342,1212
685,6348594,Oil & Gas Refining & Marketing,11584.77681,1255.462862,11858.01001,1946
686,7470.6,Capital Markets,NULL,16.30927914,169.3643687,410
687,69184,Automobiles,1351.876846,307.423007,1604.739366,6515
688,7043,Capital Markets,NULL,77.03600824,2830.746879,NULL
689,190836,Hotels,2604.854708,696.715459,3846.613019,24500
690,34762.40234,Specialty Chemicals,610.9755928,209.8865615,677.8478556,1405
691,5667000,Oil & Gas Refining & Marketing,35035.24919,8827.021807,39374.738,9476
692,755000,Waste & Disposal Services,1273.866422,475.4067925,1419.715085,7935
693,135,Capital Markets,16.15018332,0.473799454,343.6549445,124
694,53929.97,Diversified Banks,NULL,42734.98239,172210.9949,449296
695,1940000,Oil & Gas Refining & Marketing,3264.295777,1912.371677,3479.289695,10842
696,317894,Specialty Chemicals,2208.748118,1196.54853,3649.120032,9647
697,18293,Oil & Gas Equipment & Services,244.4444167,163.4804843,229.2097263,4615
698,1058,Capital Markets,NULL,15.33892959,968.2165178,NULL
699,303.33,Capital Markets,NULL,1.413333804,379.6728538,253
700,301479,Gambling,3775.26688,5584.753607,5047.782362,21413
701,431062,Hotels,736.6216245,238.6480555,1108.591632,4431
702,3150000,Paper & Related Products,4509.079825,2549.07833,5337.897232,10000
703,2488.899902,Specialty Chemicals,15.59391866,9.203114694,17.8707876,NULL
704,32175,Waste & Disposal Services,224.5755194,429.1395351,287.1459482,1277
705,185831,Diversified Banks,NULL,3166.557862,44230.67568,56415
706,119624,Automobiles,2834.156631,743.3673669,3436.867383,NULL
707,202233,Diversified Banks,NULL,6288.403531,22522.89497,77211
708,303.9,Capital Markets,10.68478513,2.267251875,271.0930137,98
709,38834.84,Diversified Banks,NULL,1773.776786,22346.44508,48012
710,46233.9,Diversified Banks,NULL,1063.295894,7914.474654,NULL
711,9758,Diversified Banks,NULL,167.0386009,1205.41497,NULL
712,44140.24,Diversified Banks,NULL,-964.5324982,8842.830786,NULL
713,497.2460022,Capital Markets,2.473696288,1.920502715,14.50489386,NULL
714,19338,Diversified Banks,NULL,1681.03212,5968.981267,NULL
715,4388727,Paper & Related Products,6403.459093,5484.761945,8642.301547,26493
716,4388727,Paper & Related Products,6435.219165,5714.787249,8685.165899,26493
717,368495,Oil & Gas Exploration & Production,1006.409194,1002.336189,1292.208181,1184
718,1.29E+07,Oil & Gas Refining & Marketing,44997.84629,12272.75789,48484.59262,1864
719,19691,Software,1233.095378,1110.570003,8796.341752,24200
720,1050741,Oil & Gas Exploration & Production,1843.626041,5984.770095,3633.437832,1493
721,11164.8,Diversified Banks,NULL,136.3547122,755.36729,4005
722,2001.7,Capital Markets,10.15030641,NULL,NULL,1499
723,1440000,Coal,874.9177684,NULL,NULL,1600
724,34307,Auto Parts,1282.595282,188.5468801,1501.96669,4470
725,12737,Auto Parts,173.6601306,110.3121182,202.1419208,2383
726,8978.52,Diversified Banks,NULL,3706.524954,13876.09438,37440
727,7555.27,Capital Markets,364.8655803,88.92613872,1403.200591,3112
728,2375.890137,Capital Markets,NULL,168.8782431,1300.769643,2135
729,163344,Gambling,2147.207494,2946.592215,2628.068383,18000
730,1815,Capital Markets,1.00E-06,3.80866,426.069184,315
731,1462390,Coal,1395.133404,240.0108701,1965.87901,2844
732,254562.4,Oil & Gas Exploration & Production,163.9340034,1983.893735,381.8239572,NULL
733,412499,Aluminum,985.6130779,331.3121149,1282.65083,3329
734,1220.339966,Capital Markets,NULL,NULL,NULL,NULL
735,143.9029999,Capital Markets,NULL,NULL,NULL,69
736,257799,Specialty Chemicals,NULL,NULL,NULL,140
737,8375,Specialty Chemicals,NULL,NULL,NULL,402
738,205518,Oil & Gas Exploration & Production,NULL,NULL,NULL,389
739,43672,Capital Markets,NULL,NULL,NULL,3744
740,90162,Waste & Disposal Services,886.3966122,321.0649577,1159.857504,2042
741,6.73E+07,Cement Manufacturers,8991.146919,7183.848996,11840.75819,52498
742,17792,Capital Markets,258.4987481,113.9070457,1995.118599,9004
743,79672.39,Diversified Banks,NULL,443.7207701,6969.990706,16016
744,1558100,Hotels,3720.382268,3530.546877,4358.385751,54000
745,1007.17,Regional Banks,NULL,3.716358637,382.5735992,886
746,5086,Diversified Banks,NULL,60.3,4105.4,6693
747,67601,Industrial Conglomerates,82056.8051,35325.23417,90280.73716,3952
748,1685501.5,Oil & Gas Exploration & Production,1125.346556,7404.806977,1274.45818,464
749,4540.900391,Hotels,14.72385415,40.28317565,NULL,NULL
750,125447.38,Oil & Gas Equipment & Services,262.0193468,799.7065812,NULL,NULL
751,748407.68,Gambling,1905.207931,7951.08231,NULL,NULL
752,7799.78,Health Care  Services,513.2291445,210.7006611,NULL,NULL
753,671174,Specialty Chemicals,1534.710527,921.2652858,NULL,NULL
754,2.59E+07,Aluminum,7300.850731,4321.58039,NULL,NULL
755,21880,Capital Markets,572.9966623,505.1724431,NULL,NULL
756,245668.94,Specialty Chemicals,11500.50162,1186.16282,NULL,NULL
757,1802435,Oil & Gas Exploration & Production,923.7453375,4459.531952,NULL,NULL
758,36122,Health Care  Services,1205.71964,888.4517332,NULL,NULL
759,462.47,Capital Markets,67.63500385,9.27043489,592.7855549,522
760,2140559,Oil & Gas Exploration & Production,1883.384751,5017.114635,2063.179395,537
761,71661.39844,Diversified Banks,NULL,2669.552895,32460.48404,44982
762,283029,Coal,372.7582862,856.9290201,578.0304966,1938
763,32989,Oil & Gas Equipment & Services,222.3729678,386.9390546,236.3431985,2071
764,8912.1,Diversified Banks,NULL,265.6297208,3686.171249,17357
765,1.56E+07,Cement Manufacturers,1123.652901,3173.165248,2440.298339,16793
766,809005,Gambling,5211.666481,15700.56115,8210.869967,66000
767,7200000,Oil & Gas Storage & Transportation,9566.235953,12650.86537,10328.31741,2460
768,26800,Auto Parts,453.8388392,388.2671341,454.7764839,789
769,6370,Diversified Banks,NULL,583.6456896,676.8723165,3900
770,18665.97,Regional Banks,NULL,659.8919921,2924.607576,NULL
771,101000,Aluminum,1105.35454,863.942516,1272.158759,467
772,51018,Auto Parts,966.7683159,281.0089129,1252.036374,8865
773,111648.58,Oil & Gas Exploration & Production,837.6770443,3385.431419,869.5527551,380
774,30735.091,Auto Parts,287.9115411,79.04337187,352.6550437,1557
775,159024,Gambling,772.9326873,3621.145365,1248.808411,10735
776,105569,Gambling,719.8866386,2018.659021,1876.974761,NULL
777,1695,Software,254.9447432,15.4775135,327.7879132,1848
778,4.44E+07,Oil & Gas Refining & Marketing,86594.2947,44090.73757,94072.24349,60350
779,896897,Oil & Gas Storage & Transportation,150.4782278,2087.455814,331.5748738,699
780,6782.7,Diversified Banks,NULL,1927.839678,4761.473059,15924
781,370963.71,Auto Parts,10441.92509,3110.756242,14125.1231,143000
782,24700,Specialty Chemicals,257.4356721,102.7802934,324.4550791,1232
783,1520000,Auto Parts,3933.757247,2628.971728,4599.491164,22177
784,9404,Regional Banks,NULL,NULL,NULL,NULL
785,3.57E+07,Oil & Gas Refining & Marketing,101889.7432,NULL,NULL,14200
786,13550,Software,609.2913684,NULL,NULL,8154
787,180000,Gambling,1146.271357,NULL,NULL,18023
788,748000,Aluminum,3587.602598,1464.318875,4452.991136,13316
789,538750,Oil & Gas Exploration & Production,1038.025794,19934.64875,2129.538199,711
790,36370,Software,818.4204976,781.1306348,2773.182495,10500
791,3900000,Cement Manufacturers,659.2754835,1251.773742,1086.204538,4067
792,142966,Oil & Gas Refining & Marketing,6197.559358,-517.7361345,6962.284785,18031
