Company Identifier,Total S1+S2 (tCo2e),Subsector Name,Charlie (milUSD),Alpha (milUSD),Romeo (milUSD),Echo
92,19534,Diversified Banks,NULL,505.8312875,5758.161642,10367
93,220388,Automobiles,15809.63964,6507.466963,19123.20298,37263
94,2310799,Auto Parts,21752.95194,6090.352817,30989.64162,122000
95,96066,Industrial Conglomerates,645.7152787,1040.51226,812.3623329,20713
96,60554.38,Regional Banks,NULL,863.0660602,7165.796778,18180
97,1151508,Automobiles,41022.54064,13166.76098,48181.21501,35921
98,502348,Auto Parts,18433.70153,2542.326452,20696.75468,169000
99,103140,Computer Storage & Peripherals,NULL,NULL,NULL,NULL
100,553,Computer Storage & Peripherals,1747.266864,78.2299368,2762.020991,6600
101,815676,Gambling,7923.102019,20284.87842,11510.57701,55000
102,2120298,Auto Parts,35561.81654,8347.344948,39958.6036,174000
103,6836301,Hotels,16938.40533,1914.010446,20312.38694,176000
104,184027,Hotels,659.3760027,4116.856508,1301.77797,11504
105,680191,Specialty Chemicals,1325.912145,1079.223988,1768.796157,3720
106,8680018,Industrial Conglomerates,125589.5104,19299.32912,143290.5797,79994
107,116692,Diversified Banks,NULL,909.7071459,25308.67495,33283
108,5736,Diversified Banks,NULL,466.0358367,8272.32996,23450
109,1330000,Oil & Gas Equipment & Services,6864.40863,2736.956656,8273.496076,35063
110,143275.61,Diversified Banks,NULL,695.8683194,7976.681144,30877
111,9822.5,Software,6280.0352,725.6283375,10682.53043,5944
112,1980000,Auto Parts,36148.65936,NULL,NULL,171992
113,3229327,Automobiles,86552.24515,47209.86902,102987.1442,140564
114,812810,Specialty Chemicals,5023.857319,2376.937764,7176.157278,26001
115,57434,Capital Markets,1250.705638,3108.634508,16376.55513,27864
116,8330,Diversified Banks,NULL,623.0811156,14180.2477,28990
117,1.28E+07,Aluminum,16005.13833,8575.693313,19169.52935,36236
118,37682,Capital Markets,NULL,419.0078083,6528.282563,18800
119,569830,Oil & Gas Exploration & Production,772.0516323,6740.078262,1503.961038,-1410
120,7931000,Paper & Related Products,10501.75955,8762.342562,13800.65016,36309
121,379532,Software,9586.352249,6188.958515,39107.64477,136000
122,130151.9,Industrial Conglomerates,3718.511262,1534.745883,4886.770412,18510
123,246508,Regional Banks,NULL,5604.058193,19096.07048,53063
124,344950,Oil & Gas Equipment & Services,573.483481,1106.285863,855.917732,1715
125,1185471,Automobiles,69176.47059,16325.18511,85491.26191,NULL
126,769615,Paper & Related Products,1344.071541,1569.027795,1953.602998,3282
127,1193857,Oil & Gas Exploration & Production,965.9996199,2302.189711,1368.458661,767
128,217238,Health Care  Services,4841.781027,1260.350437,7369.331632,46000
129,242420,Health Care  Services,5747.819112,3123.099216,6967.460151,60000
130,34228,Gambling,486.7007683,220.3515886,-887.8305989,10000
131,3.05E+07,Oil & Gas Refining & Marketing,64235.20118,64741.60818,80369.82769,194056
132,1216710,Automobiles,53373.28489,16519.20259,66311.24816,183002
133,256243,Hotels,1762.324447,3644.669558,2408.078314,21075
134,362325,Computer Storage & Peripherals,11311.17994,2227.042792,17913.6148,92663
135,8901624.48,Paper & Related Products,13015.45209,8963.803185,16072.96514,45100
136,126183,Diversified Banks,NULL,2196.029101,44498.28035,84000
137,87694,Diversified Banks,NULL,5681.079184,21643.20123,67000
138,406000,Specialty Chemicals,969.0480213,766.3690465,1209.722086,5031
139,599000,Oil & Gas Exploration & Production,1230.735137,5705.987078,1604.945707,611
140,1.52E+07,Industrial Conglomerates,120322.081,102657.1385,216821.9218,103011
141,5880000,Oil & Gas Exploration & Production,2367.932112,11781.28541,3666.475529,2190
142,226701,Software,8617.609742,4103.238731,28534.42797,-96498
143,5728404.83,Paper & Related Products,4720.533252,3569.608282,5514.570636,12645
144,2060000,Oil & Gas Equipment & Services,27904.82408,11428.2863,32110.55869,100000
145,151467,Waste & Disposal Services,1971.865721,407.7256337,2319.291339,3575
146,53809,Capital Markets,1539.232327,1731.024785,10753.09857,19500
147,107348,Oil & Gas Equipment & Services,799.2050831,334.4184896,1063.692109,NULL
148,1458000,Industrial Conglomerates,67626.22468,13228.61524,96525.53586,379000
149,202755,Diversified Banks,NULL,28335.79103,48413.13562,149022
150,274052,Software,37984.15828,35231.59829,107387.8532,131000
151,1163785,Diversified Banks,NULL,5776.992888,47174.37725,257252
152,88492,Capital Markets,NULL,2166.471947,11996.81394,40142
153,77199.639,Regional Banks,NULL,1980.550687,10207.07718,22899
154,180000,Paper & Related Products,1686.033405,5717.470565,2111.764159,4121
155,73000,Software,1242.480765,780.8749441,4676.353621,11900
156,55911.05,Software,769.3135795,306.0422046,3086.993329,13245
157,21006,Gambling,NULL,NULL,NULL,5000
158,490320.03,Automobiles,37710.03842,11573.54444,43841.47751,82797
159,643469,Oil & Gas Equipment & Services,10051.29474,3189.821704,12289.591,37000
160,1480000,Specialty Chemicals,5677.901598,2383.646823,7906.626104,20671
161,61103,Diversified Banks,NULL,4128.41064,41180.19824,NULL
162,1174736,Industrial Conglomerates,24709.5535,3432.11971,32864.94867,128697
163,7790000,Automobiles,220651.5296,95079.05881,268935.729,370870
